epoch,train_loss,val_threshold,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc
1,0.16629105877175837,0.14463771879673004,0.9988062007338354,0.8262316480678408,0.6530612244897959,0.6530612244897959,0.6530612244897959,0.9686293981919307,0.5364467298139803
2,0.026908370733127265,0.28356289863586426,0.9991046505503766,0.8875001031839147,0.7238095238095238,0.7755102040816326,0.7487684729064039,0.967923261315148,0.6217839084333135
3,0.024453330336105146,0.38237541913986206,0.9992626533944278,0.8570197542464218,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.9761567993534047,0.6447932861976268
4,0.023054335046068814,0.2956218719482422,0.999350432752234,0.877436710575759,0.8505747126436781,0.7551020408163265,0.8,0.9748385575498864,0.637335963209174
5,0.02059050710609707,0.4462372064590454,0.9993153210091115,0.8774191244476969,0.8314606741573034,0.7551020408163265,0.7914438502673797,0.9778055885843776,0.6746471852439558
6,0.020006094353753116,0.33111831545829773,0.9993679886237953,0.8825387513920856,0.8522727272727273,0.7653061224489796,0.8064516129032258,0.9664926836323753,0.6548500641239517
7,0.01936837922346717,0.4369446337223053,0.999280209265989,0.8723082905673393,0.8202247191011236,0.7448979591836735,0.7807486631016043,0.9662798555927656,0.6718744783319037
8,0.01941008903197721,0.46139079332351685,0.9992977651375503,0.8723170836313704,0.8295454545454546,0.7448979591836735,0.7849462365591398,0.9741577231634788,0.6519672829785224
9,0.017978792169415756,0.4983391761779785,0.9993328768806727,0.8774279175117279,0.8409090909090909,0.7551020408163265,0.7956989247311828,0.973909812592888,0.6800082874198464
10,0.017557569061444993,0.38733941316604614,0.9992977651375503,0.8825035791359612,0.8152173913043478,0.7653061224489796,0.7894736842105263,0.9464073514322107,0.6605357164737914
11,0.0165064715903007,0.5290006399154663,0.999280209265989,0.8824947860719301,0.8064516129032258,0.7653061224489796,0.7853403141361257,0.9704531514520939,0.6075241499151778
12,0.015759536119534852,0.6062244772911072,0.9993328768806727,0.8774279175117279,0.8409090909090909,0.7551020408163265,0.7956989247311828,0.9756274210086756,0.6697800693774765
13,0.01575427627174217,0.6349260807037354,0.9993328768806727,0.8774279175117279,0.8409090909090909,0.7551020408163265,0.7956989247311828,0.9758077685464562,0.6857130459536968
14,0.015233755647065398,0.5827010869979858,0.9992626533944278,0.8722994975033083,0.8111111111111111,0.7448979591836735,0.776595744680851,0.9697170463774909,0.6451708561826341
15,0.014301393646746874,0.6559560894966125,0.9993328768806727,0.8774279175117279,0.8409090909090909,0.7551020408163265,0.7956989247311828,0.9734124661242722,0.6822161761830638
16,0.015330280938525936,0.6739462614059448,0.9993328768806727,0.8774279175117279,0.8409090909090909,0.7551020408163265,0.7956989247311828,0.978937022639807,0.69107442322741
17,0.015088012949479911,0.6290364861488342,0.9992977651375503,0.8723170836313704,0.8295454545454546,0.7448979591836735,0.7849462365591398,0.9819406615327136,0.6796504393445576
18,0.015096194688007682,0.30301669239997864,0.9992275416513052,0.8773751591275414,0.7872340425531915,0.7551020408163265,0.7708333333333334,0.9764104523331588,0.6563079105613582
19,0.013754714881265145,0.6638113260269165,0.9993328768806727,0.8774279175117279,0.8409090909090909,0.7551020408163265,0.7956989247311828,0.9814199865268725,0.6793496367393865
20,0.01556486273072883,0.5573641061782837,0.999350432752234,0.8825299583280545,0.8426966292134831,0.7653061224489796,0.8021390374331551,0.979630956897118,0.6748318662535252
21,0.01426118178136959,0.5737885236740112,0.9992275416513052,0.8468156726137688,0.8292682926829268,0.6938775510204082,0.7555555555555555,0.9623019810952712,0.6573719059104827
22,0.014253393537783158,0.5302929878234863,0.9993328768806727,0.8774279175117279,0.8409090909090909,0.7551020408163265,0.7956989247311828,0.9797289367534644,0.6758726103093711
23,0.01250591666526914,0.4179832935333252,0.9993153210091115,0.8774191244476969,0.8314606741573034,0.7551020408163265,0.7914438502673797,0.9643186434132592,0.6737759719700201
24,0.012568340911446306,0.27459248900413513,0.9992275416513052,0.8671886636229506,0.8,0.7346938775510204,0.7659574468085106,0.9587380984083836,0.6324905608335997
25,0.012938242639877839,0.5710737109184265,0.9992450975228665,0.8621042089346862,0.8160919540229885,0.7244897959183674,0.7675675675675676,0.9649458221640483,0.6553903062754823
26,0.012158528954616029,0.5111784934997559,0.9993328768806727,0.8825211652640235,0.8333333333333334,0.7653061224489796,0.7978723404255319,0.9727528068716539,0.6889725982350502
27,0.012619253437586887,0.34367236495018005,0.999280209265989,0.8672150428150438,0.8275862068965517,0.7346938775510204,0.7783783783783784,0.9657027434718677,0.6561722661086932
28,0.011811641761531195,0.32323718070983887,0.9992275416513052,0.8468156726137688,0.8292682926829268,0.6938775510204082,0.7555555555555555,0.9428436481956095,0.6399874206527834
29,0.01226102764450549,0.569326639175415,0.9992977651375503,0.857037340374484,0.8536585365853658,0.7142857142857143,0.7777777777777778,0.9497063654964473,0.6648189782445293
30,0.012036920183555719,0.1774691641330719,0.9992626533944278,0.8722994975033083,0.8111111111111111,0.7448979591836735,0.776595744680851,0.9472062641070356,0.6584149814748339
31,0.011507511887598984,0.41383999586105347,0.999280209265989,0.8723082905673393,0.8202247191011236,0.7448979591836735,0.7807486631016043,0.9618325391461827,0.66082365312618
