threshold,precision,recall,f1
3.4999514e-10,0.0017204754130018785,1.0,0.0034350409225504188
5.9283267e-10,0.001720505617977528,1.0,0.0034351011251674496
6.710195e-10,0.0017205358240137644,1.0,0.0034351613298947425
7.402419e-10,0.001720566031110643,1.0,0.003435221536732409
7.450239e-10,0.0017205962392682198,1.0,0.0034352817456805595
8.053801e-10,0.0017206264484865511,1.0,0.003435341956739305
8.9067737e-10,0.0017206566587656923,1.0,0.003435402169908757
9.100617e-10,0.0017206868701056994,1.0,0.0034354623851890267
9.2033453e-10,0.0017207170825066283,1.0,0.0034355226025802234
9.244496e-10,0.001720747295968535,1.0,0.0034355828220824594
9.47727e-10,0.0017207775104914752,1.0,0.003435643043695846
9.499095e-10,0.0017208077260755048,1.0,0.0034357032674204933
9.670204e-10,0.00172083794272068,1.0,0.0034357634932565134
1.0501953e-09,0.0017208681604270564,1.0,0.003435823721204017
1.1155031e-09,0.0017208983791946898,1.0,0.0034358839512631132
1.1503029e-09,0.0017209285990236365,1.0,0.0034359441834339163
1.2144916e-09,0.0017209588199139521,1.0,0.0034360044177165357
1.2249419e-09,0.0017209890418656926,1.0,0.0034360646541110817
1.2876665e-09,0.001721019264878914,1.0,0.003436124892617667
1.367854e-09,0.0017210494889536721,1.0,0.003436185133236401
1.3931335e-09,0.001721079714090023,1.0,0.003436245375967396
1.3986234e-09,0.0017211099402880225,1.0,0.003436305620810763
1.4145514e-09,0.0017211401675477265,1.0,0.0034363658677666136
1.4278092e-09,0.0017211703958691911,1.0,0.003436426116835057
1.429008e-09,0.001721200625252472,1.0,0.003436486368016206
1.4536561e-09,0.0017212308556976254,1.0,0.0034365466213101717
1.4715349e-09,0.0017212610872047072,1.0,0.0034366068767170644
1.5000661e-09,0.0017212913197737732,1.0,0.0034366671342369957
1.5097651e-09,0.0017213215534048795,1.0,0.0034367273938700764
1.5148852e-09,0.0017213517880980819,1.0,0.003436787655616418
1.5587186e-09,0.0017213820238534366,1.0,0.0034368479194761313
1.5606701e-09,0.0017214122606709994,1.0,0.0034369081854493284
1.570063e-09,0.0017214424985508264,1.0,0.00343696845353612
1.6026981e-09,0.0017214727374929735,1.0,0.0034370287237366166
1.6157797e-09,0.0017215029774974968,1.0,0.0034370889960509306
1.6191298e-09,0.001721533218564452,1.0,0.003437149270479172
1.6248471e-09,0.0017215634606938955,1.0,0.003437209547021453
1.6299657e-09,0.001721593703885883,1.0,0.0034372698256778843
1.7408741e-09,0.0017216239481404705,1.0,0.0034373301064485767
1.7539055e-09,0.001721654193457714,1.0,0.003437390389333643
1.7660979e-09,0.0017216844398376698,1.0,0.0034374506743331925
1.7700637e-09,0.0017217146872803935,1.0,0.003437510961447338
1.7834464e-09,0.0017217449357859415,1.0,0.00343757125067619
1.8034678e-09,0.0017217751853543695,1.0,0.0034376315420198596
1.8207043e-09,0.0017218054359857337,1.0,0.0034376918354784586
1.8447327e-09,0.0017218356876800899,1.0,0.003437752131052098
1.8464084e-09,0.0017218659404374945,1.0,0.0034378124287408893
1.856986e-09,0.0017218961942580032,1.0,0.0034378727285449434
1.8685047e-09,0.0017219264491416723,1.0,0.003437933030464372
1.8824198e-09,0.0017219567050885578,1.0,0.0034379933344992866
1.8922544e-09,0.0017219869620987156,1.0,0.0034380536406497975
1.900389e-09,0.0017220172201722018,1.0,0.003438113948916018
1.9084674e-09,0.0017220474793090725,1.0,0.0034381742592980566
1.926755e-09,0.0017220777395093837,1.0,0.0034382345717960277
1.928233e-09,0.0017221080007731914,1.0,0.0034382948864100397
1.971717e-09,0.0017221382631005518,1.0,0.003438355203140206
1.9904287e-09,0.001722168526491521,1.0,0.003438415521986638
1.9969768e-09,0.001722198790946155,1.0,0.0034384758429494462
2.0067321e-09,0.0017222290564645098,1.0,0.0034385361660287423
2.0232893e-09,0.0017222593230466416,1.0,0.0034385964912246373
2.023737e-09,0.0017222895906926065,1.0,0.003438656818537243
2.0359519e-09,0.0017223198594024604,1.0,0.0034387171479666706
2.0590318e-09,0.0017223501291762596,1.0,0.003438777479513032
2.0877102e-09,0.0017223804000140602,1.0,0.0034388378131764387
2.0997508e-09,0.0017224106719159183,1.0,0.0034388981489570022
2.1084314e-09,0.0017224409448818897,1.0,0.0034389584868548323
2.1089221e-09,0.001722471218912031,1.0,0.0034390188268700423
2.1145126e-09,0.0017225014940063978,1.0,0.003439079169002743
2.1318083e-09,0.0017225317701650468,1.0,0.003439139513253046
2.138263e-09,0.0017225620473880336,1.0,0.0034391998596210623
2.145322e-09,0.0017225923256754144,1.0,0.0034392602081069036
2.14603e-09,0.0017226226050272456,1.0,0.0034393205587106815
2.1590079e-09,0.0017226528854435831,1.0,0.003439380911432508
2.160128e-09,0.0017226831669244832,1.0,0.0034394412662724933
2.1610225e-09,0.0017227134494700019,1.0,0.0034395016232307506
2.1626512e-09,0.0017227437330801954,1.0,0.0034395619823073898
2.1854951e-09,0.00172277401775512,1.0,0.0034396223435025236
2.1920787e-09,0.0017228043034948316,1.0,0.003439682706816263
2.2127211e-09,0.0017228345902993865,1.0,0.0034397430722487203
2.223467e-09,0.0017228648781688408,1.0,0.0034398034398000054
2.2269218e-09,0.0017228951671032506,1.0,0.0034398638094702313
2.2435618e-09,0.0017229254571026723,1.0,0.003439924181259509
2.2437328e-09,0.0017229557481671619,1.0,0.0034399845551679508
2.3188764e-09,0.0017229860402967756,1.0,0.003440044931195667
2.333487e-09,0.0017230163334915696,1.0,0.00344010530934277
2.3401059e-09,0.0017230466277516,1.0,0.0034401656896093716
2.3469042e-09,0.001723076923076923,1.0,0.0034402260719955825
2.3581714e-09,0.0017231072194675951,1.0,0.003440286456501515
2.3689277e-09,0.001723137516923672,1.0,0.0034403468431272806
2.3704871e-09,0.0017231678154452103,1.0,0.0034404072318729912
2.373419e-09,0.001723198115032266,1.0,0.003440467622738758
2.380051e-09,0.0017232284156848954,1.0,0.003440528015724693
2.3811406e-09,0.0017232587174031545,1.0,0.0034405884108309076
2.4107074e-09,0.0017232890201870998,1.0,0.0034406488080575134
2.4195794e-09,0.0017233193240367875,1.0,0.0034407092074046227
2.42357e-09,0.0017233496289522738,1.0,0.003440769608872346
2.457073e-09,0.0017233799349336146,1.0,0.0034408300124607956
2.4578088e-09,0.0017234102419808666,1.0,0.0034408904181700835
2.4614821e-09,0.0017234405500940859,1.0,0.003440950826000322
2.482189e-09,0.0017234708592733284,1.0,0.003441011235951621
2.496252e-09,0.0017235011695186507,1.0,0.003441071648024093
2.5048796e-09,0.001723531480830109,1.0,0.00344113206221785
2.5269826e-09,0.0017235617932077596,1.0,0.003441192478533005
2.5274696e-09,0.0017235921066516586,1.0,0.0034412528969696666
2.536423e-09,0.0017236224211618623,1.0,0.003441313317527949
2.540834e-09,0.001723652736738427,1.0,0.0034413737402079632
2.544428e-09,0.0017236830533814088,1.0,0.003441434165009821
2.5627118e-09,0.0017237133710908644,1.0,0.0034414945919336343
2.5638949e-09,0.0017237436898668496,1.0,0.003441555020979514
2.6164086e-09,0.001723774009709421,1.0,0.003441615452147574
2.632417e-09,0.0017238043306186347,1.0,0.0034416758854379234
2.6463969e-09,0.001723834652594547,1.0,0.0034417363208506762
2.674504e-09,0.0017238649756372143,1.0,0.003441796758385943
2.6764992e-09,0.001723895299746693,1.0,0.0034418571980438365
2.677066e-09,0.001723925624923039,1.0,0.0034419176398244673
2.6771783e-09,0.001723955951166309,1.0,0.0034419780837279487
2.6864828e-09,0.0017239862784765591,1.0,0.0034420385297543915
2.697486e-09,0.0017240166068538457,1.0,0.003442098977903908
2.7076716e-09,0.0017240469362982248,1.0,0.0034421594281766094
2.7282214e-09,0.0017240772668097534,1.0,0.0034422198805726086
2.751198e-09,0.001724107598388487,1.0,0.003442280335092016
2.7612441e-09,0.0017241379310344827,1.0,0.0034423407917349453
2.7624667e-09,0.0017241682647477965,1.0,0.0034424012505015074
2.77082e-09,0.0017241985995284845,1.0,0.0034424617113918143
2.7788911e-09,0.0017242289353766032,1.0,0.0034425221744059775
2.7794582e-09,0.001724259272292209,1.0,0.0034425826395441095
2.782896e-09,0.0017242896102753584,1.0,0.0034426431068063216
2.7846e-09,0.0017243199493261075,1.0,0.0034427035761927264
2.8302483e-09,0.0017243502894445128,1.0,0.0034427640477034355
2.834208e-09,0.0017243806306306306,1.0,0.0034428245213385614
2.835495e-09,0.0017244109728845173,1.0,0.003442884997098216
2.8483633e-09,0.0017244413162062291,1.0,0.0034429454749825097
2.8660585e-09,0.0017244716605958226,1.0,0.0034430059549915566
