epoch,train_loss,val_threshold,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc
1,0.012766742766528073,0.5,0.998560418531978,0.622378635079588,0.75,0.24489795918367346,0.36923076923076925,0.934761925099604,0.6273208265749575
2,0.002514162113399295,0.5,0.9985779744035392,0.6427604191528009,0.717948717948718,0.2857142857142857,0.40875912408759124,0.951390955059547,0.6448123779972954
3,0.0022391790125385193,0.5,0.9989817594494479,0.7652006056806064,0.8125,0.5306122448979592,0.6419753086419753,0.9613543041330632,0.648470507646561
4,0.002011257576516378,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9620064264736548,0.6328244485184006
5,0.0017621588205199265,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9732963617890045,0.6590922479502851
6,0.001527369246137758,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9429723140509214,0.6241066006529983
7,0.0016137352471189675,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9811809587454559,0.6680211617011225
8,0.0014550308846801652,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9828870823429173,0.66029042585896
9,0.0014640111354190834,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9791159345752968,0.6842769660502507
10,0.0013997116579930716,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9768016539573993,0.6961074135976539
11,0.0013641338582111601,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9811469529161927,0.6650796041769168
12,0.001386982879551228,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.976762982420691,0.6869900022395805
13,0.0013760680552017122,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9821942247873244,0.6788178307416602
14,0.0013359879099270385,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9807187845329645,0.6943541236441375
15,0.0012782467119632746,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9743812284951262,0.6781266050271385
16,0.0012588607820732418,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9817010056752947,0.6822344520743873
17,0.0012462808050683694,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9809127702925076,0.6777226774270615
18,0.0012307736735434054,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9818945428091219,0.686214037857666
19,0.001214357602206466,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9783442983439968,0.6827902274357237
20,0.0012527256750942259,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9826850213204885,0.6241291080140196
21,0.001204882358050275,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9849158575552339,0.6896883197071956
22,0.0011975305359866358,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9859951613024789,0.6325622939045495
23,0.001180706502490504,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9858959252941281,0.6961596424537377
24,0.0011968003250630629,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9873202222168787,0.6385197882818798
25,0.0011936646422948465,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.987020540238676,0.6719577066409071
26,0.0012277604663161795,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.984994636230941,0.7045039187519813
27,0.0012145420490390438,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9842508147940251,0.7066344489249917
28,0.001207279369742526,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9853988480009418,0.6731184643870697
29,0.0011876274765020203,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9841134455998252,0.7074085473838789
30,0.001144657135260721,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9827472905698517,0.6925810211534192
31,0.0012048997004477386,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.984684366685844,0.7032905939161654
32,0.0011722715848619062,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9857742579999835,0.6972763605641293
