threshold,precision,recall,f1
4.7500676e-15,0.0017204754130018785,1.0,0.0034350409225504188
5.419928e-15,0.001720505617977528,1.0,0.0034351011251674496
6.007696e-15,0.0017205358240137644,1.0,0.0034351613298947425
6.4493495e-15,0.001720566031110643,1.0,0.003435221536732409
6.7145305e-15,0.0017205962392682198,1.0,0.0034352817456805595
7.0691612e-15,0.0017206264484865511,1.0,0.003435341956739305
7.756584e-15,0.0017206566587656923,1.0,0.003435402169908757
7.85149e-15,0.0017206868701056994,1.0,0.0034354623851890267
9.788199e-15,0.0017207170825066283,1.0,0.0034355226025802234
9.8417775e-15,0.001720747295968535,1.0,0.0034355828220824594
1.0013327e-14,0.0017207775104914752,1.0,0.003435643043695846
1.0833599e-14,0.0017208077260755048,1.0,0.0034357032674204933
1.1538907e-14,0.00172083794272068,1.0,0.0034357634932565134
1.1604191e-14,0.0017208681604270564,1.0,0.003435823721204017
1.2005339e-14,0.0017208983791946898,1.0,0.0034358839512631132
1.2501926e-14,0.0017209285990236365,1.0,0.0034359441834339163
1.2703672e-14,0.0017209588199139521,1.0,0.0034360044177165357
1.3734348e-14,0.0017209890418656926,1.0,0.0034360646541110817
1.3773118e-14,0.001721019264878914,1.0,0.003436124892617667
1.4777894e-14,0.0017210494889536721,1.0,0.003436185133236401
1.5871156e-14,0.001721079714090023,1.0,0.003436245375967396
1.6229072e-14,0.0017211099402880225,1.0,0.003436305620810763
1.6382649e-14,0.0017211401675477265,1.0,0.0034363658677666136
1.7386098e-14,0.0017211703958691911,1.0,0.003436426116835057
1.7990588e-14,0.001721200625252472,1.0,0.003436486368016206
1.8810942e-14,0.0017212308556976254,1.0,0.0034365466213101717
1.8866314e-14,0.0017212610872047072,1.0,0.0034366068767170644
1.9105675e-14,0.0017212913197737732,1.0,0.0034366671342369957
1.9547679e-14,0.0017213215534048795,1.0,0.0034367273938700764
1.965104e-14,0.0017213517880980819,1.0,0.003436787655616418
2.0179847e-14,0.0017213820238534366,1.0,0.0034368479194761313
2.0881193e-14,0.0017214122606709994,1.0,0.0034369081854493284
2.163549e-14,0.0017214424985508264,1.0,0.00343696845353612
2.199612e-14,0.0017214727374929735,1.0,0.0034370287237366166
2.3013472e-14,0.0017215029774974968,1.0,0.0034370889960509306
2.3560301e-14,0.001721533218564452,1.0,0.003437149270479172
2.431092e-14,0.0017215634606938955,1.0,0.003437209547021453
2.432089e-14,0.001721593703885883,1.0,0.0034372698256778843
2.500973e-14,0.0017216239481404705,1.0,0.0034373301064485767
2.5170431e-14,0.001721654193457714,1.0,0.003437390389333643
2.5486666e-14,0.0017216844398376698,1.0,0.0034374506743331925
2.550636e-14,0.0017217146872803935,1.0,0.003437510961447338
2.5903086e-14,0.0017217449357859415,1.0,0.00343757125067619
2.6670645e-14,0.0017217751853543695,1.0,0.0034376315420198596
