epoch,train_loss,val_threshold,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc
1,0.19332221829650287,0.18453843891620636,0.9990344270641316,0.8467189489094268,0.7311827956989247,0.6938775510204082,0.7120418848167539,0.9423291642246473,0.5653508122683191
2,0.03278815556696789,0.43020936846733093,0.9991573181650603,0.8467805003576444,0.7906976744186046,0.6938775510204082,0.7391304347826086,0.9523697666464366,0.6414947789954427
3,0.025835027419097586,0.17825473845005035,0.9990870946788153,0.8773048146152926,0.7254901960784313,0.7551020408163265,0.74,0.9460662164378615,0.6123541971885791
4,0.021473262980468793,0.3475703299045563,0.9990870946788153,0.8823980623675881,0.7211538461538461,0.7653061224489796,0.7425742574257426,0.9529730785091413,0.6420264414271374
5,0.02026583994376267,0.3640879690647125,0.9991924299081828,0.8417048387334112,0.8170731707317073,0.6836734693877551,0.7444444444444445,0.9393768481136365,0.6344930291548768
6,0.01904492335907089,0.5392911434173584,0.9992450975228665,0.8519177134300953,0.8313253012048193,0.7040816326530612,0.7624309392265194,0.9640954072570413,0.6585049057032805
7,0.01832557834885613,0.5106047987937927,0.9990695388072541,0.8772960215512615,0.7184466019417476,0.7551020408163265,0.736318407960199,0.9601119698006703,0.6404379108912862
8,0.01714251398019671,0.15057814121246338,0.9992099857797441,0.8671798705589195,0.7912087912087912,0.7346938775510204,0.7619047619047619,0.9575714920968299,0.6206833409501852
9,0.016710027820893567,0.4236330986022949,0.9991573181650603,0.8824332346237125,0.75,0.7653061224489796,0.7575757575757576,0.9652569889605772,0.6561791209358951
10,0.016477695900478404,0.249832421541214,0.9992099857797441,0.8824596138158057,0.7731958762886598,0.7653061224489796,0.7692307692307693,0.9680274322063736,0.6256892564457149
11,0.014977808916260918,0.18058577179908752,0.9992275416513052,0.8926549023844277,0.77,0.7857142857142857,0.7777777777777778,0.9552863721504641,0.6489750882771053
12,0.01416050034023063,0.4824657142162323,0.999280209265989,0.8875880338242256,0.8,0.7755102040816326,0.7875647668393783,0.9583239271474905,0.6640648162955346
13,0.012959551185363915,0.3935270309448242,0.9992626533944278,0.882485993007899,0.7978723404255319,0.7653061224489796,0.78125,0.9602844215258514,0.6644070720747626
14,0.013163590752157176,0.3799492418766022,0.9992450975228665,0.8671974566869817,0.8089887640449438,0.7346938775510204,0.7700534759358288,0.9497933988853267,0.6475707429663716
15,0.013892533293852727,0.5711986422538757,0.9991397622934991,0.8620514505504997,0.7634408602150538,0.7244897959183674,0.743455497382199,0.963283933062172,0.6515802120208345
